ID,KitType,AnimID,HeadEffect,ChestEffect,BaseEffect,LeftHandEffect,RightHandEffect,BreathEffect,SpecialEffect[0],SpecialEffect[1],SpecialEffect[2],SoundID,ShakeID,CharProc[0],CharProc[1],CharProc[2],CharProc[3],CharParamZero[0],CharParamZero[1],CharParamZero[2],CharParamZero[3],CharParamOne[0],CharParamOne[1],CharParamOne[2],CharParamOne[3],CharParamTwo[0],CharParamTwo[1],CharParamTwo[2],CharParamTwo[3],CharParamThree[0],CharParamThree[1],CharParamThree[2],CharParamThree[3]
285,2,-1,54,-1,254,-1,-1,-1,-1,-1,-1,1502,0,1,-1,-1,-1,7961087,0,0,0,0.1,0,0,0,0.1,0,0,0,1,0,0,0
286,1,-1,-1,321,-1,-1,-1,-1,-1,-1,-1,1507,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,2,-1,-1,276,-1,-1,-1,-1,-1,-1,-1,1501,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,1,-1,-1,-1,292,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,1,-1,-1,294,-1,-1,-1,-1,-1,-1,-1,44,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,2,-1,-1,-1,296,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,2,-1,-1,298,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,1945621,0,0,0,0.8,0,0,0,0.1,0,0,0,0.8,0,0,0
294,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1485,6,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,1,-1,-1,299,-1,-1,-1,-1,-1,-1,-1,1491,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,2,-1,-1,-1,-1,-1,-1,301,-1,-1,-1,2557,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,2,-1,-1,-1,289,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,2,-1,-1,-1,268,-1,-1,-1,-1,-1,-1,1505,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4,-1,-1,-1,297,-1,-1,-1,-1,-1,-1,0,0,13,-1,-1,-1,5906196,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0
