ID,Importance,Icon,FactionID,Pos[0],Pos[1],Pos[2],ContinentID,Flags,AreaID,Name_lang[0],Description_lang[0],WorldStateID
792,3,4,0,234.85,-2127.76,118.095,0,13,-1,Aerie Peak,,0
1032,0,6,0,-4817.79,-2666.7,351.197,0,4,838,Algaz Station,,0
27,3,6,84,-6392.65,-3158,299.765,0,5,0,Angor Fortress,,0
1,3,6,0,-6134.28,383.763,399.254,0,5,132,Anvilmar,,0
1287,0,6,0,-10443.3,-2141.1,90.7794,0,4,2697,Ariden's Camp,,0
1128,0,6,0,-10349.7,-1538.8,92.6423,0,0,42,Beggar's Haunt,,0
40,3,4,0,-14383.3,487.139,-29.5617,0,13,0,Booty Bay,,0
1010,0,6,0,-1194.05,-2119.16,61.8808,0,4,1858,Boulderfist Outpost,,0
2,3,6,0,2249.85,278.41385,34.11371,0,5,0,Brill,,0
1018,0,6,0,2483.98,-5183.79,76.1135,0,4,2271,Browman Mill,,0
1307,0,6,0,921.054,-1421.46,66.5524,0,4,197,Chillwind Camp,,0
3,3,4,0,-10564.7,-1170.65,28.0505,0,13,-1,Darkshire,,0
1288,0,6,0,-10572,-1841.05,109.049,0,4,2697,Deadwind Ravine,,0
4,3,6,0,1879.8323,1588.2028,90.17196,0,5,0,Deathknell,,0
327,0,6,0,-1014.22,-3827.39,145.41,0,4,321,Drywhisker Gorge,,0
5,3,6,0,-4191.0234,-2373.1401,205.15083,0,5,0,Dun Algaz,,0
6,3,6,0,-2610.2583,-2350.5583,81.59118,0,5,0,Dun Modr,,0
1028,0,6,0,-7320.59,-2265.09,244.548,0,4,344,Dustbelch Grotto,,0
949,0,6,0,-8676.57,-119.634,91.4235,0,4,24,Echo Ridge Mine,,0
1177,0,6,0,-7479.77,-2186.4,166.15,0,4,250,Flame Crest,,0
7,3,6,0,-9480.089,63.521755,56.17569,0,5,0,Goldshire,,0
1033,0,6,0,-4055,-3448.54,283.115,0,4,1038,Grim Batol,,0
41,3,4,83,-12378.4,185.734,3.05513,0,13,-1,Grom'gol Base Camp,,0
1011,0,6,0,-11112.2,-2335.63,117.131,0,4,2561,Grosh'gok Compound,,0
25,3,4,83,-991.57,-3528.34,56.5482,0,13,-1,Hammerfall,,0
948,0,6,0,-5858.7,-2004.1,401.649,0,4,212,Ironband's Compound,,0
8,3,5,0,-5021,-834.059,495.319,0,29,-1,Ironforge,,0
1031,0,6,0,-14179.6,718,28.2885,0,4,35,Janeiro's Point,,0
1030,0,6,0,-9184.5,-605.891,62.8185,0,4,91,Jasperlode Mine,,0
26,3,4,83,-6676.42,-2186.68,245.829,0,13,-1,Kargath,,0
9,2,6,0,-5585.9507,-482.12653,397.01672,0,5,0,Kharanos,,0
10,3,4,0,-9227.69,-2201.47,63.9334,0,13,-1,Lakeshire,,0
950,0,6,0,-9948.39,69.1568,33.3002,0,4,57,Maclure Vineyards,,0
11,3,4,0,-3672.7,-828.455,9.89915,0,13,-1,Menethil Harbor,,0
227,0,2,0,-9389.26,458.427,38.2854,0,4,-1,Mirror Lake,,0
1683,0,6,0,-10854.8,-4093.43,21.7435,0,5,300,Misty Reed Post,,0
12,3,6,0,-11017.066,1510.168,43.16575,0,5,0,Moonbrook,,0
1016,0,6,0,2046.11,1829.45,107.823,0,4,154,Night Web's Hollow,,0
13,3,6,0,-8896.159,-179.32834,80.290924,0,5,0,Northshire Abbey,,0
954,0,6,0,-9067.35,-333.965,73.4517,0,4,24,Northshire Vineyards,,0
14,3,6,0,-10752.526,310.43338,40.16275,0,5,0,Raven Hill,,0
24,3,6,84,-1251.05,-2526.81,20.7117,0,5,0,Refuge Pointe,,0
956,0,6,0,-8674.12,-2290.05,157.009,0,4,996,Render's Rock,,0
1008,0,6,0,-8970.76,-2002.7,140.756,0,4,-1,Rethban Caverns,,0
1507,0,4,0,-573.459,-4590.51,10.4125,0,13,307,Revantusk Village,,0
1127,0,6,0,-11076,-1139.98,42.8768,0,4,241,Roland's Doom,,0
